"Category: ""All Commands""; Filter: """""
ID,Title,Description,Shortcut,"Shortcut 2"
cmd.comments.show.checked.all,All,,,
cmd.tool.editContent.all,"All Content","Select and edit any base content.",,
cmd.window.allDocsToOneTabGroup,"All Documents to One Tab Group","Arrange all opened documents in a single tab group.",,
cmd.forms.highlight.all,"All Fields","All form fields will be highlighted.",,
cmd.fieldsView.sort.alphabetic,"Alphabetical Order","Show fields in alphabetical order.",,
cmd.document.applyRedactions,"Apply All Redactions","Permanently remove all of the content that has been marked for redaction.",,
cmd.signs.applyAll,"Apply All Signatures","Apply all signatures and initials that have been added.",,
cmd.annotStyle.pasteAppOnly,"Apply Copied Comment Appearance","Apply copied style to selected annotation.",,
cmd.annotStyle.paste,"Apply Copied Comment Style","Apply copied style to selected annotation and it text.",,
cmd.textStyle.paste,"Apply Copied Text Style","Apply copied style of text.",,
cmd.cropPage.apply,"Apply Crop...","Open the Crop Pages dialog to crop the page, or pages, to the selected area.",,
cmd.props.applyDefault,"Apply Default Properties","Apply the default properties to the selected object(s).",,
cmd.textStyle.applyDefault,"Apply Default Text Format","Apply the default text format to the current selection. If there is no text selected, then it will be applied to all text in the current annotation, or content block.",,
cmd.layersView.applyOverrides,"Apply Layers Overrides","Applies the layer overrides, for layers in the document.",,
cmd.annots.applyRedactions,"Apply Selected Redaction(s)","Permanently remove the content covered by the selected redaction markings.",,
cmd.signs.applySignature,"Apply Signature","Apply selected signature.",,
cmd.tool.annot.area,"Area Tool","Measure the area of the shape on the the page.",,
cmd.tool.annot.arrow,"Arrow Tool","Draw an arrow annotation.
Use Properties Pane to set the properties.
",,
cmd.view.attachments,Attachments,"Show/Hide the Attachments pane.
The Attachments pane shows a list of embedded files.
",Ctrl+Shift+A,
cmd.annot.callout.autoarm,"Auto Adjust Arm Position",,,
cmd.bookmarksView.autoExpandBookmarks,"Automatically Expand Bookmarks","Automatically expand, and highlight, bookmarks associated with the current page.",,
cmd.contentsView.displaySelected,"Automatically Expand Content Items","Automatically expand, and highlight content items that were selected.",,
cmd.view.layout.autoScroll,Autoscroll,"Scrolls through the document automatically, without user interaction.",Ctrl+Shift+H,
cmd.tool.editFields.mode.barcode,Barcode,"Add a barcode field to encode data of the form.",,
cmd.forms.highlight.barcode,Barcodes,"Highlight barcodes.",,
{A37A64B9-A742-445A-B7F2-E4B01795FF4E},Black,"Custom Style",,
{1CD5BEA3-851B-4129-9685F07ABE4EEBCA},Black,"Custom Style",,
{A54A4D38-0C02-46CF-8099BA9A3F1FCEEF},Black,"Custom Style",,
{21B848C7-5F5F-4D48-92A4BC3FEAF94E0B},Black,"Custom Style",,
{E7E07154-73C7-4FD9-A51E4100D06DD0A1},Black,"Custom Style",,
{55F0F424-832F-46CE-84082F47A75EE524},Black,"Custom Style",,
{19E747C7-0264-40F0-B8CB810A81EB4CBB},Black,"Custom Style",,
{DB9B55B6-C418-4625-B8770E62B94D2F8D},Black,"Custom Style",,
{41FF68F8-DECD-4481-A38A4E77DC57F081},Black,"Custom Style",,
{57DEB8D2-D8EB-4F23-A8E420AA677104DF},Black,"Custom Style",,
{475E2CEA-8084-4FB3-81611DCDF47EE70D},Black,"Custom Style",,
{AB1C6B7B-9731-4A4C-9ADE-2A50D11A5F79},Black,"Custom Style",,
{88A53DF1-962A-4E78-97CB-22B287CF4DA5},"Black Cloudy","Custom Style",,
{F489F360-D89B-461E-BD58-7D51881E4157},"Black Cloudy","Custom Style",,
{EBBC7107-A565-49B9-B0F1-00BCC62DD8BE},"Black Inner","Custom Style",,
{69709F89-A459-4271-A4370AFA12755C3B},"Black Squiggly","Custom Style",,
{01A4471C-F48B-4953-A3FBF67D1717FE22},"Black Stroke","Custom Style",,
{DE7548FA-95A8-4A0D-87A31F75701073FC},"Black Stroke","Custom Style",,
{EBA45D75-3CBC-42BC-8447E817B7106D5F},"Black Stroke","Custom Style",,
{3EF5417E-DB74-4A6F-A076BA424261C508},"Black Stroke","Custom Style",,
{A4898B75-9C16-4087-BD80C059F580AC22},"Black Stroke","Custom Style",,
{EA36E657-5C2F-4893-B78109CFE07A04AF},Blue,"Custom Style",,
{69BEDEDB-6131-4100-84982357F18F1893},Blue,"Custom Style",,
{440F89E1-F13C-4B43-879F16EB391ADDBD},Blue,"Custom Style",,
{387AFFE0-0BFC-4AE5-AA78A34C94F7BA81},Blue,"Custom Style",,
{445141C9-052D-4872-9D70330CA0577ABC},Blue,"Custom Style",,
{7665E780-A2F5-4AB1-9DE59E973AAFA6B6},Blue,"Custom Style",,
{2668CFF9-4C1B-4671-8619009B149285E4},Blue,"Custom Style",,
{730E08E1-5ED8-4D3C-98A03A34745A2CC4},Blue,"Custom Style",,
{50EE36C9-DD6D-4A1E-8E94D534845BBF42},Blue,"Custom Style",,
{8B533761-7998-449D-91CD55D9DC38F572},Blue,"Custom Style",,
{AA80B59C-7FA3-44A3-96F5-745CF10DB095},Blue,"Custom Style",,
{34C6FFE8-CDEB-4CD3-A7BD5BBFB575BF04},Blue,"Custom Style",,
{EAA0DBE4-BA9B-4FE1-91C5C48FAC4FEA38},Blue,"Custom Style",,
{525DBA94-CADA-493F-8F744CF47019F3BD},Blue,"Custom Style",,
{59B0E927-9BBF-40A4-8D4F35770836F12D},Blue,"Custom Style",,
{5186975D-E300-44C7-A6920A41FEB1559D},Blue,"Custom Style",,
{97DD8780-CB9E-4EF9-A0A78C8EB9519B63},Blue,"Custom Style",,
{65D62C95-2AE2-4015-8341B2A90EBEECB7},Blue,"Custom Style",,
{24F38D1A-A016-4493-9A96-2E336A565DB4},"Blue Cloudy","Custom Style",,
{6EDC7A80-9A16-40CB-8A2C-277D0181A934},"Blue Cloudy","Custom Style",,
{7874AD4D-B033-4354-A3E6-002F67484DB6},"Blue Inner","Custom Style",,
{B8A4FE24-18FE-4786-BED936A2B6E881E2},"Blue Squiggly","Custom Style",,
{AD882907-9488-458C-B0FA13EF92D474D6},"Blue Stroke","Custom Style",,
{6B809044-01EA-450C-937B844262D8B53D},"Blue Stroke","Custom Style",,
{79A8497B-6553-4918-8A3275580A8E8118},"Blue Stroke","Custom Style",,
{41124D8F-266A-4D7E-A8B0B3BC04CE6705},"Blue Stroke","Custom Style",,
{68557676-4391-46C0-A9F21EE946DF936E},"Blue Stroke","Custom Style",,
cmd.bookmarks.bold,Bold,"Make selected bookmarks bold.",,
cmd.textStyle.bold,Bold,"Make the selected text bold.",Ctrl+B,
cmd.bp.bookmarkEveryNthPage,"Bookmark Every Nth Page...","Create bookmarks in relation to document page numbers.",,
cmd.snapshot.addBookmark,"Bookmark Selection","Create a bookmark that links to the area selected by the Snapshot Tool.",,
cmd.view.bookmarks,Bookmarks,"Show/Hide the Bookmarks pane.
The Bookmarks pane may contain bookmarks. Bookmarks link to specific points in the document.
",Ctrl+B,
cmd.borderWidth,"Border Width","Set the width of the object's border.",,
cmd.view.mathY,"Bottom-Up Y-axis","Turn on/off the classical bottom-up direction for Y-axis, instead of default (top to bottom) in rulers, etc...",,
cmd.order.moveForward,"Bring Forward","Move the selected object forward.",,
cmd.order.foreground,"Bring to Front","Move the selected object to the front.",,
cmd.browseForOpen,Browse...,,,
cmd.browseForSave,Browse...,,,
cmd.bp.toTOC,"Build Table of Contents...","Creates a Table of Contents based on the bookmarks' structure and pages that they point to.",,
cmd.tool.editFields.mode.button,Button,"Add a button that, when pressed, will perform an action that can be specified within the Properties pane.",,
cmd.forms.calcOrder,"Calculation Order...","Change the order in which form fields are calculated.",,
cmd.tool.calibrate,"Calibrate Measurement",,Ctrl+Shift+C,
cmd.tool.annot.callout,"Callout Tool","Add a text box annotation, with a callout.
Use Properties Pane to set the properties.
",,
cmd.signs.cancelAll,"Cancel All Signatures","Remove all signatures and initials that have not yet been applied.",,
cmd.textAlign.center,"Center Text","Center text.",Ctrl+E,
cmd.rulers.units.centimeters,Centimeters,,,
cmd.document.signatures.certify.invisible,"Certify (Invisible)...","Certify the document without adding a visible signature.",,
cmd.digisig.certify,"Certify Digital Signature Field","Certify the selected signature field.",,
cmd.document.signatures.certify,Certify...,"Certify the document and add a visible signature.",,
cmd.bp.changeBookmarkCase,"Change Bookmark Case...","Changes case of the bookmarks' titles.",,
cmd.bp.setBookmarksZoomFactor,"Change Bookmarks Zoom Factor...","Changes zoom factor of the document's bookmarks.",,
cmd.tool.editFields.mode.check,"Check Box","Add check boxes to allow for selection from one or more options.",,
cmd.forms.highlight.checkBox,"Check Boxes","Highlight check boxes.",,
sp.cmd.checkIn,"Check In","Check In the document file to SharePoint.",,
sp.cmd.checkOut,"Check Out","Check Out the document file from SharePoint.",,
cmd.help.checkForUpdates,"Check for Updates",,,
cmd.jsConsole.clear,Clear,"Clear console output.",,
cmd.document.signatures.clear,"Clear All Signatures","Clear all digital signatures in the document.",,
cmd.digisig.clear,"Clear Digital Signature","Remove the selected digital signature.",,
cmd.textStyle.clear,"Clear Text Formatting","Clear text formatting.",,
cmd.close,Close,"Close the active document.",Ctrl+W,Ctrl+F4
cmd.closeAll,"Close All","Close all opened documents.",,
cmd.window.closeAll,"Close All","Close all opened documents.",,
cmd.comments.show.popups.closeAll,"Close All Pop-ups","Close pop-ups for all comments in the document.",,
cmd.mediaAnnot.stopViewFloating,"Close Floating Window","Close the floating window of the current media or 3D annotation.",,
cmd.commentsView.popups.close,"Close Group's Pop-Ups","Close pop-up notes for all comments, in the selected groups.",,
cmd.tool.annot.cloud,"Cloud Tool","Draw a cloud annotation. To complete the annotation, double click, right-click, or click the start point.
Use Properties Pane to set the properties.
",,
cmd.collapseAll,"Collapse All","Collapse all items in the tree",,
cmd.fieldsView.collapseAll,"Collapse All","Collapse all filed groups.",,
cmd.commentsView.collapseAll,"Collapse All","Collapse all comment groups.",,
cmd.bookmarksView.collapseAll,"Collapse All Bookmarks","Collapse all of the bookmarks in Bookmarks Pane.",,
cmd.newDocCombine,"Combine Files into a Single PDF...","Create a new document by combining supported files.",,
cmd.forms.highlight.comboBox,"Combo Boxes","Highlight combo boxes.",,
cmd.help.cmdline,"Command Line Help","Open the online help page about supported command line options",,
cmd.view.commentStyles,"Comment Styles Palette","Show/Hide the Comment Styles Palette.
The Comment Styles Palette contains a list of available comment styles, for each type of annotations, and provides a means of managing styles for each tool.
",,
cmd.view.toolbar.drawing,"Comment Toolbar","Show/Hide the Comment toolbar.
",,
cmd.view.comments,Comments,"Show/Hide the Comments pane.
The Comments pane shows all comments in the document. They can be grouped according to various criteria.
",Ctrl+M,
cmd.configureScanPresets,"Configure Presets...","Configure scanner presets.",,
cmd.view.content,Content,"Show/Hide the Content pane.
The Content pane shows a page by page breakdown of all base content in the document.
",,
cmd.help.contents,Contents,"Open the online manuals.",F1,
cmd.view.layout.oneColumn,Continuous,"Show the document, page by page, continuously.",,
cmd.tool.zoomDyn,"Continuous Zoom","Continuous Zoom.",,
cmd.convertColors,"Convert Colors","Converts colors in the document",,
cmd.bp.namedDestsToPageNumbers,"Convert Named Destinations to Regular Destinations...","Converts Named Destinations in the Bookmarks' action lists to the regular destinations. Then when the pages are being moved or deleted, the bookmarks will point to pages that correspond the destinations' page numbers.",,
cmd.tool.convertToDistance,"Convert to Distance","Convert currently selected Line annotations to Distance annotations.",,
cmd.bp.bookmarksToNamedDests,"Convert to Named Destinations...","Converts regular destinations in the Bookmarks' action lists to the Named Destinations. Then when the pages are being moved or deleted, the bookmarks will point to same pages as they were before.",,
cmd.tool.convertToPerimeter,"Convert to Perimeter","Convert currently selected Polyline annotations to Perimeter annotations.",,
cmd.copy,Copy,"Copy the selection to the Clipboard.",Ctrl+C,Ctrl+Insert
cmd.measureInfo.copy,Copy,"Copy measurement information, to the Clipboard.",,
cmd.snapshot.copy,Copy,"Copy the selected item to the Clipboard.",,
cmd.annotStyle.copy,"Copy Comment Style","Copy style of selected annotation.",,
cmd.copySrcFileName,"Copy Full File Name","Copy the name and path of the active document, to the Clipboard.",,
cmd.tool.link.copyURL,"Copy Link Location","Copy the URL of the selected link, to the Clipboard.",,
cmd.textStyle.copy,"Copy Text Style","Copy text style.",,
cmd.tool.selectText.copyAsRich,"Copy as a Rich Text","Copy the selected text with Rich Text formatting.",,
cmd.bp.bookmarksToLinks,"Create Links from Bookmarks...","Create links in text of document from bookmarks.",,
cmd.tool.editFields.createMulti,"Create Multiple Copies...",,,
cmd.createWebLinksFromText,"Create Web-Links from URLs",,,
cmd.tool.cropPage,"Crop Page Tool","Draw boundaries over the page, to define the crop box.",,
cmd.document.cropPages,"Crop Pages...","Redefines the visible area of the document, with an option to remove content outside of the cropped area.",Ctrl+Shift+T,
cmd.textsel.addStrikeout,"Crossout Text","Strikeout the selected text.",,
cmd.newDocCustomScan,"Custom Scan...","Create a new document using custom scan options.",,
cmd.view.theme.customize,"Customize Theme...","Customize UI theme - colors, fonts, background, etc.",,
cmd.view.toolbar.customize,"Customize Toolbars...","Toolbars content can be customized, new toolbars can be created, and existing custom toolbars can be removed.",,
cmd.cut,Cut,"Copy the selection to the Clipboard and remove it from the document.",Ctrl+X,Shift+Delete
cmd.tool.editFields.mode.date,Date,,,
cmd.measure.decimalSeparator,Decimal,"Set decimal separator.",,
cmd.textPara.indent.decrease,"Decrease Indent","Move paragraph closer to the margin.",,
cmd.editLink.defAction,"Default Action","Default action added to newly created link.",,
cmd.editImage.default,"Default Application","Edit image content item in the default image-editing application.",,
cmd.delete,Delete,"Delete the selection",Delete,
cmd.view.portfolio.delete,Delete,"Remove the selected items from Portfolio.",,
cmd.comments.deleteAllDoc,"Delete All Comments","Removes all of the comments from the current document.",,
cmd.rulers.deleteAllGuides,"Delete All Page Guides","Remove all guides from the active document.",,
cmd.comments.deleteAllShown,"Delete All Visible Comments","Removes all of the visible comments from the current document.",,
cmd.commentsView.delete,"Delete Comment(s)","Delete selected comments.",,
cmd.document.deleteEmptyPages,"Delete Empty Pages...","Delete empty pages from the active document.",,
cmd.rulers.deleteGuidesOnCurrentPage,"Delete Guides on Current Page","Remove all guides from the current page of the active document.",,
cmd.annot.deleteLabel,"Delete Label...","Delete a text label from the distance line.",,
cmd.document.deletePages,"Delete Pages...","Delete pages from the active document.",Ctrl+Shift+D,
cmd.comments.deleteSel,"Delete Selected Comments","Removes all of the selected comments from the current document.",,
cmd.bookmarksView.deleteWithoutChildren,"Delete Without Children",,,
cmd.bookmarksView.demote,"Demote Bookmarks","Demote the current selection.",Alt+Right,
cmd.edit.deselect,Deselect,,,
cmd.snapshot.deselectAll,"Deselect All","Deselect the whole page.",,
cmd.view.portfolio.deselectAll,"Deselect All","Deselect all items in the Portfolio.",,
cmd.pdfopt.pagesDeskew,"Deskew Pages Content","Deskew scanned images in the document to improve reading and text recognizing.",,
cmd.view.destinations,Destinations,"Show/Hide the Named Destinations pane.
The Named Destinations pane contains a list of named links to specific points in the document.
",,
cmd.tool.editFields.mode.signature,"Digital Signature","Add a digital signature.",,
cmd.mediaAnnot.disableContent,"Disable Content","Disable the contents of the selected media or 3D annotation.",,
sp.cmd.discardCheckOut,"Discard Check Out","Discard checked out file on SharePoint.",,
cmd.tool.annot.distance,"Distance Tool","Measure the distance between two points on the page.",,
cmd.distribHorz,"Distribute Horizontally","Evenly distribute the selected objects, horizontally.",,
cmd.distribVert,"Distribute Vertically","Evenly distribute the selected objects, vertically.",,
cmd.document.actions,"Document Actions","Show all document actions that can be specified or edited.",,
cmd.view.docInfoBar,"Document Info Bar","Show/Hide the Document Info Bar.
",Ctrl+Alt+I,
cmd.document.javaScript,"Document JavaScript",,,
cmd.view.toolbar.navigation,"Document Navigation Toolbar","Show/Hide the Document Navigation toolbar.
",,
cmd.view.toolbar.docOptions,"Document Options Toolbar","Show/Hide the Document Options toolbar.
",,
cmd.docProps,"Document Properties...","Show the properties of the active document.",Ctrl+D,
cmd.view.recovery,"Document Recovery","Show/Hide the Document Recovery pane.
The Document Recovery pane is used to recover documents from auto recovery data.
",,
cmd.tool.editFields.mode.combo,Dropdown,"Add a dropdown list. Add or edit list entries from within the Properties pane.",,
cmd.document.duplicatePages,"Duplicate Pages...","Duplicate pages of the active document.",,
cmd.object.duplicateSelection,Duplicate...,"Create copies of selected annotations or content items, with horizontal, vertical or page offsets.",,
cmd.forms.emailData,"E-Mail Form Data...",,,
cmd.jsEditSnippets,"Edit Code Snippets...","Manage JavaScript Code Snippets.","Ctrl+G, Ctrl+J",
cmd.tool.editContent,"Edit Content","Edit base content text and images on the page, or marquee select content items, to move/resize them, or to change their properties.",,
cmd.view.toolbar.contentEditing,"Edit Content Toolbar","Show/Hide the Edit Content toolbar.
",,
cmd.attachmentsView.edit,"Edit Description...","Add or edit a description of the selected attachment.",,
cmd.tool.editFields,"Edit Form","Edit existing form fields in the document, or place new fields.",Ctrl+Shift+7,
cmd.annot.editLabel,"Edit Label...","Add a text label to the distance line.",,
cmd.tool.editContent.editTextBlocks,"Edit Text Elements as Blocks","Creates virtual text blocks and allows their selection and editing instead of the selection of separate text content items.",,
cmd.editImage.editType,"Edit/Save Images Without Display Transformations","By choosing this option, the image will be edited/saved as it was added into the PDF file. This means that all rotations, transformations, scales applied to the image and page will be ignored.",,
cmd.thumbnailsView.select.empty,"Empty Pages","Select pages that have no content.",,
cmd.mediaAnnot.enableContent,"Enable Content","Enable the contents of the selected media or 3D annotation.",,
cmd.document.discardPDFA,"Enable Editing","Removes PDF/A standard compliance, enabling all editing and interactive features.",,
sp.cmd.enableEditing,"Enable Editing","Enable editing and interactive features.",,
cmd.view.snap,"Enable Snapping",,Ctrl+Shift+;,
cmd.mediaAnnot.stopFullScreen,"End Full Screen Multimedia","Exit full screen mode.",,
cmd.pdfopt.pagesScan,"Enhance Scanned Pages","Enhance scanned images in the document to improve reading and text recognizing, as well as compressing images.",,
cmd.bookmarksView.ensureVisibility,"Ensure Visibility of Corresponding Bookmark","Expand all of the parent bookmark items, to ensure visibility of the corresponding bookmark.",,
cmd.help.enterkey,"Enter License Key...","Show the list of all license keys that are currently installed, and allows for the entry of new license keys and activation codes.",,
cmd.eraserDiameter,"Eraser Diameter","Set the diameter of the eraser.",,
cmd.tool.annot.eraser,"Eraser Tool","Erase objects drawn using the Pencil tool.",,
cmd.tool.exclusiveMode,"Exclusive Mode","Turns on or off exclusive mode for current tool. Hold Shift to temporarily toggle the mode.","Ctrl+G, Ctrl+E",
cmd.exit,Exit,"Exit the application and prompt to save any changes to open documents.",Ctrl+Q,
cmd.view.fullScreenExit,"Exit Full Screen","Exit from full screen mode.",,
cmd.expandAll,"Expand All","Expand all items in the tree",,
cmd.fieldsView.expandAll,"Expand All","Expand all field groups.",,
cmd.commentsView.expandAll,"Expand All","Expand all comment groups.",,
cmd.bookmarksView.expandAll,"Expand All Bookmarks","Expand all of the bookmarks in Bookmarks Pane.",,
cmd.expandAllDescendants,"Expand All Descendants","Expand item and all of its descendants",,
cmd.document.exportBookmarks,"Export All Bookmarks...","Export all of the bookmarks from the current document.",,
cmd.bp.bookmarksToHtmlFile,"Export Bookmarks to HTML...","Saves the bookmarks' structure as a HTML file.",,
cmd.bp.bookmarksToTextFile,"Export Bookmarks to Text File...","Saves the bookmarks' structure as a text file.",,
cmd.comments.export,"Export Comments to Data File...","Export comments to another format.",,
cmd.forms.exportData,"Export Form Data...","Export form data to a file.",,
cmd.exportMeasuresToCSV,"Export Measurements to CSV File...","Export data of document's measurements comments to CSV (Excel) file.",,
cmd.document.exportSelBookmarks,"Export Selected Bookmarks...","Export the selected bookmarks.",,
cmd.settings.export,"Export Settings...","Export application settings to a file.",,
cmd.pdf2xlsxSel,"Export selection to Microsoft Excel...","Export a current selection to Microsoft Excel...",,
cmd.pdf2pptxSel,"Export selection to Microsoft PowerPoint Presentation...","Export a current selection to Microsoft PowerPoint Presentation...",,
cmd.pdf2docxSel,"Export selection to Microsoft Word Document...","Export a current selection to Microsoft Word Document...",,
cmd.document.export.toImages,"Export to Image(s)...","Export the selected page(s), or page area, to an image.",,
cmd.pdf2xlsx,"Export to Microsoft Excel...","Export an active document to Microsoft Excel...",,
cmd.pdf2pptx,"Export to Microsoft PowerPoint Presentation...","Export an active document to Microsoft PowerPoint Presentation...",,
cmd.pdf2docx,"Export to Microsoft Word Document...","Export an active document to Microsoft Word Document...",,
cmd.bookmarksView.pages.extract,Extract,"Extract pages that the selected bookmarks and their children point to.",,
cmd.bookmarksView.sections.extract,Extract,"Extract pages range that starts from pages that the selected bookmarks and their children point to and ends before the page that the next bookmark in hierarchy points to.",,
cmd.document.extractPages,"Extract Pages...","Extract pages from the current document to one or more PDF files.",Ctrl+Shift+E,
cmd.view.portfolio.extractFiles,Extract...,"Extract the selected items from Portfolio.",,
cmd.view.fields,Fields,"Show/Hide the Fields pane.
The Fields pane shows the structure of all form fields in the document.
",Ctrl+I,
cmd.help.fileAssoc,"File Associations...","Allows to set the Editor as default application for PDF files",,
cmd.tool.annot.fileAttachment,"File Attachment Tool","Embed a file within the document and add a linked annotation on the page.
Use Properties Pane to set the properties.
",,
cmd.view.toolbar.file,"File Toolbar","Show/Hide the File toolbar.
",,
cmd.filterImageItems,"Filter Image Items",,,
cmd.filterPathItems,"Filter Path Items",,,
cmd.filterTextItems,"Filter Text Items",,,
cmd.document.findAndRedact,"Find and Redact","Finds text and marks result for redaction.",,
cmd.bp.findReplaceBookmarkText,"Find and Replace Bookmark Text...","Locates and replace elements of text in the bookmarks' titles.",,
cmd.find,Find...,"Find specified text in active document.",Ctrl+F,
cmd.view.goto.firstPage,"First Page","Go to the first page of the document.",Home,
cmd.tool.fitBoxByTextContent,"Fit Box by Text Content","Makes the size of the box by its Text Content.",,
cmd.zoom.level.fitHeight,"Fit Height","Set the zoom level so that the height of the page fits the document window.",,
cmd.zoom.level.fitPage,"Fit Page","Set the zoom level so that the page (or two facing pages) fit(s) the document window.",Ctrl+0,
cmd.zoom.level.fitVisible,"Fit Visible","Set the zoom level so that the page content width fits the document window, without showing white page margins.",Ctrl+3,
cmd.zoom.level.fitWidth,"Fit Width","Set the zoom level so that the width of the page matches the width of the window.",Ctrl+2,
cmd.comments.flatten,"Flatten Comments...","Convert annotations to base content items.",,
cmd.comments.flattenSel,"Flatten Selected Comments","Converts selected annotations to base content items.",,
cmd.object.flipHorizontal,"Flip Horizontal","Flip horizontal the selected annotation(s), or content item(s).",,
cmd.annot.line.flip,"Flip Line","Turn the arrow around.",,
cmd.object.flipVertical,"Flip Vertical","Flip vertical the selected annotation(s), or content item(s).",,
cmd.fontName,Font,"Change the font used for the selected text.",,
cmd.overlay.fontName,Font,"Specifies the font to be used for overlay text.",,
cmd.fontSize,"Font Size","Set the font size of the selected text.",,
cmd.overlay.fontSize,"Font Size","Specifies the font size of the overlay text.",,
cmd.widget.fontSize,"Font Size","Specifies the font size for form field.",,
cmd.view.toolbar.form,"Form Toolbar","Show/Hide the Form toolbar.
",,
cmd.newDocImage,"From Image File(s)...","Create a new document from image files.",,
cmd.newDocRTF,"From Rich Text Format (RTF) Files...","Create a new document from RTF files.",,
cmd.newDocScanner,"From Scanner...","Create a new document from a scanner.",,
cmd.newDocSelection,"From Selection...","Create a new document from an active selection.",,
cmd.newDocText,"From Text Files...","Create a new document from text files.",,
cmd.view.fullScreen,"Full Screen Mode","View document in full screen.",F11,
cmd.mediaAnnot.startFullScreen,"Full Screen Multimedia","View the media or 3D annotation in full screen.",,
cmd.bp.fromTOC,"Generate Bookmark from Table of Contents...","Creates bookmarks from an existing table of contents. The table of contents must first be selected using the Select Text Tool for this feature to operate.",,
cmd.bp.generate,"Generate Bookmarks from Page Text...","Creates bookmarks from the current document's text by using the given font style and parameters.",,
cmd.bp.fromTextFile,"Generate Bookmarks from Text File...","Creates bookmarks from the text file. Note that the text file data format should follow the Export Bookmarks to Text File feature's rules.",,
cmd.bookmarksView.goto,"Go to Bookmark","Go to a specific point in the document, using the selected bookmark.",Enter,Space
